Denumire medicament,Substanta activa,Lista de compensare,Cod medicament,Formă farmaceutica,Cod ATC,Mod de prescriere,Concentratie,Forma de ambalare,Nume detinator APP,Tara detinator APP,Cantitate pe forma ambalare,Preț maximal al medicamentului raportat la forma de ambalare,Pret maximal al medicamentului raportat la UT,"Contributie maxima a asiguratului raportat la UT, pentru asiguratii care beneficiază de compensare 100% din prețul de referinta","Contributie maxima a asiguratului raportat la UT, pentru asiguratii care beneficiaza de compensare 90% - sublista A, 50% - sublista B, 20% - sublista D din prețul de referinta","Contribuție maxima a asiguratului raportat la UT, pentru asiguratii care beneficiază de compensare 90% din pretul de referinta, pentru pensionari cu venituri de pana la 1.299 lei/luna inclusiv"
FENITOINA RICHTER 100 mg,PHENYTOINUM,C1,W12143001,COMPR.,N03AB02,P-6L,100mg,CUTIE X 2 BLIST. X 10 COMPR.,GEDEON RICHTER ROMANIA SA,ROMANIA,20,307,0153500,0000000,0000000,
FENITOINA SODICA ACCORD 50 mg/ml,PHENYTOINUM,C1,W64010002,SOL INJ./PERF.,N03AB02,PRF,50mg/ml,"CUTIE CU 5 FIOLE IN TAVITA DIN POLISTIREN, DIN STICLA TRANSPARENTA CU CAPACITATEA DE 5 ML X 5 ML SOL. INJ./PERF.",ACCORD HEALTHCARE LIMITED,MAREA BRITANIE,5,7395,14790000,0000000,0000000,
FENITOINA SODICA ACCORD 50 mg/ml,PHENYTOINUM,C1,W64010005,SOL INJ./PERF.,N03AB02,PRF,50mg/ml,"CUTIE CU 5 FIOLE IN BLISTER DIN PVC/HARTIE, DIN STICLA TRANSPARENTA CU CAPACITATEA DE 5 ML X 5 ML SOL. INJ./PERF.",ACCORD HEALTHCARE LIMITED,MAREA BRITANIE,5,7395,14790000,0000000,0000000,
PHENHYDAN 250 mg/5 ml,PHENYTOINUM,C1,W55235001,SOL. INJ.,N03AB02,P-RF,250mg/5ml,CUTIE CU 5 FIOLE DIN STICLA INCOLORA X 5 ML SOL. INJ.,DESITIN ARZNEIMITTEL GMBH,GERMANIA,5,7395,14790000,0000000,0000000,
CARBEPSIL 200mg,CARBAMAZEPINUM,C1,W00806001,COMPR.,N03AF01,P-6L,200mg,CUTIE X 5 BLIST. X 10 COMPR.,AC HELCOR PHARMA SRL,ROMANIA,50,758,0151600,0000000,0000000,
CARBAMAZEPIN BIOEEL 200 mg,CARBAMAZEPINUM,C1,W00797001,COMPR.,N03AF01,P-6L,200mg,CUTIE X 2 BLIST. AL/PVC X 10 COMPR.,BIO EEL SRL,ROMANIA,20,304,0152000,0000000,0000000,
CARBAMAZEPINA ARENA 200 mg,CARBAMAZEPINUM,C1,W00798002,COMPR.,N03AF01,P-6L,200mg,CUTIE X 2 BLIST. AL/PVC X 10 COMPR.,ARENA GROUP SA,ROMANIA,20,304,0152000,0000000,0000000,
CARBAMAZEPINA SLAVIA 200 mg,CARBAMAZEPINUM,C1,W12403003,COMPR.,N03AF01,PRF,200mg,CUTIE CU 5 BLIST. PVC/AL X 10 COMPR.,SLAVIA PHARM SRL,ROMANIA,50,758,0151600,0000000,0000000,
CARBAMAZEPINA TERAPIA 200 mg,CARBAMAZEPINUM,C1,W62172002,COMPR.,N03AF01,PRF,200mg,CUTIE CU 5 BLIST. PVC/AL X 10 COMPR.,TERAPIA S.A.,ROMANIA,50,758,0151600,0000000,0000000,
CARBAMAZEPINA FARMEX 200 mg,CARBAMAZEPINUM,C1,W62477001,COMPR.,N03AF01,PRF,200mg,CUTIE CU 2 BLIST. PVC/AL X 10 COMPR.,FARMEX COMPANY S.R.L.,ROMANIA,20,302,0151000,0000000,0000000,
CARBEPSIL 400mg,CARBAMAZEPINUM,C1,W00807001,COMPR.,N03AF01,P-6L,400mg,CUTIE X 5 BLIST. X 10 COMPR.,AC HELCOR PHARMA SRL,ROMANIA,50,2102,0420400,0000000,0000000,
CARBAMAZEPINA ARENA 400 mg,CARBAMAZEPINUM,C1,W53816001,COMPR.,N03AF01,P-6L,400mg,CUTIE X 2 BLIST. PVC/AL X 10 COMPR.,ARENA GROUP S.A.,ROMANIA,20,840,0420000,0000000,0000000,
TIMONIL RETARD 150 mg,CARBAMAZEPINUM,C1,W58631001,COMPR. CU ELIB. PRELUNGITA,N03AF01,P6L,150mg,CUTIE X 5 BLIST. PVC/AL X 10 COMPR. CU ELIB. PRELUNGITA,DESITIN ARZNEIMITTEL GMBH,GERMANIA,50,1627,0325400,0000000,0000000,
TIMONIL RETARD 300 mg,CARBAMAZEPINUM,C1,W58632001,COMPR. CU ELIBERARE PRELUNGITA,N03AF01,P6L,300mg,CUTIE X 5 BLIST. PVC/AL X 10 COMPR. CU ELIBERARE PRELUNGITA,DESITIN ARZNEIMITTEL GMBH,GERMANIA,50,2210,0442000,0020800,0020800,
TIMONIL RETARD 600 mg,CARBAMAZEPINUM,C1,W58633001,COMPR. CU ELIBERARE PRELUNGITA,N03AF01,P6L,600mg,CUTIE X 5 BLIST. PVC/AL X 10 COMPR. CU ELIBERARE PRELUNGITA,DESITIN ARZNEIMITTEL GMBH,GERMANIA,50,3917,0783400,0000000,0000000,
NEUROTOP (R) RETARD 300 mg,CARBAMAZEPINUM,C1,W12426001,COMPR. ELIB. PREL.,N03AF01,P-6L,300mg,CUTIE X 5 BLIST. AL/PVDC-PVC X 10 COMPR. ELIB. PREL,GEROT PHARMAZEUTIKA GMBH,AUSTRIA,50,1755,0351000,0000000,0000000,
NEUROTOP RETARD 300 mg,CARBAMAZEPINUM,C1,W63239001,COMPR. ELIB. PREL.,N03AF01,P6L,300mg,CUTIE CU 5 BLIST. AL/PVDC-PVC X 10 COMPR. ELIB. PREL.,LANNACHER HEILMITTEL GES.M.B.H.,AUSTRIA,50,1755,0351000,0000000,0000000,
NEUROTOP (R) RETARD 600 mg,CARBAMAZEPINUM,C1,W12428001,COMPR. ELIB. PREL.,N03AF01,P-6L,600mg,CUTIE X 5 BLIST. AL/PVDC-PVC X 10 COMPR. ELIB. PREL.,GEROT PHARMAZEUTIKA GMBH,AUSTRIA,50,3561,0712200,0000000,0000000,
NEUROTOP RETARD 600 mg,CARBAMAZEPINUM,C1,W63238001,COMPR. ELIB. PREL.,N03AF01,P6L,600mg,CUTIE CU 5 BLIST. AL/PVDC-PVC X 10 COMPR. ELIB. PREL.,LANNACHER HEILMITTEL GES.M.B.H.,AUSTRIA,50,3561,0712200,0000000,0000000,
TIMONIL 100 mg/5 ml,CARBAMAZEPINUM,C1,W00825001,SUSP. ORALA,N03AF01,P-6L,100mg/5ml,CUTIE X 1 FLACON X 250 ML SUSP.ORALA + MASURA DOZATOARE,DESITIN ARZNEIMITTEL GMBH,GERMANIA,1,2501,25010000,0000000,0000000,
TRILEPTAL (R) 300 mg,OXCARBAZEPINUM,C1,W51417002,COMPR. FILM.,N03AF02,P-6L,300mg,CUTIE X 5 BLIST. PVC-PE-PVDC/AL X 10 COMPR. FILM.,NOVARTIS PHARMA GMBH,GERMANIA,50,4751,0950200,0000000,0000000,
TRILEPTAL (R) 600 mg,OXCARBAZEPINUM,C1,W51416002,COMPR. FILM.,N03AF02,P-6L,600mg,CUTIE X 5 BLIST. PVC-PE-PVDC/AL X 10 COMPR. FILM.,NOVARTIS PHARMA GMBH,GERMANIA,50,7221,1444200,0000000,0000000,
ORFIRIL LONG 150 mg,ACIDUM VALPROICUM + SARURI,C1,W08721001,CAPS. ELIB. PREL.,N03AG01,P-6L,150mg,CUTIE X 1 FLAC. DIN PP X 50 CAPS. CU MINICOMPR. CU ELIB. PRELUNG.,DESITIN ARZNEIMITTEL GMBH,GERMANIA,50,1904,0380800,0166840,0166840,
CONVULEX 150 mg,ACIDUM VALPROICUM + SARURI,C1,W60320001,CAPS. MOI GASTROREZ.,N03AG01,P6L,150mg,CUTIE CU 5 BLIST. PVDC-PVC/AL X 20 CAPS. MOI GASTROREZ.,GEROT PHARMAZEUTIKA GES.M.B.H.,AUSTRIA,100,1783,0178300,0000000,0000000,
CONVULEX 150 mg,ACIDUM VALPROICUM + SARURI,C1,W63234001,CAPS. MOI GASTROREZ.,N03AG01,P6L,150mg,CUTIE CU 5 BLIST. PVDC-PVC/AL X 20 CAPS. MOI GASTROREZ.,LANNACHER HEILMITTEL GES.M.B.H.,AUSTRIA,100,1783,0178300,0000000,0000000,
CONVULEX 300 mg,ACIDUM VALPROICUM + SARURI,C1,W60321001,CAPS. MOI GASTROREZ.,N03AG01,P6L,300mg,CUTIE CU 5 BLIST. PVDC-PVC/AL X 20 CAPS. MOI GASTROREZ.,GEROT PHARMAZEUTIKA GES.M.B.H.,AUSTRIA,100,2485,0248500,0000000,0000000,
CONVULEX 300 mg,ACIDUM VALPROICUM + SARURI,C1,W63235001,CAPS. MOI GASTROREZ.,N03AG01,P6L,300mg,CUTIE CU 5 BLIST. PVDC-PVC/AL X 20 CAPS. MOI GASTROREZ.,LANNACHER HEILMITTEL GES.M.B.H.,AUSTRIA,100,2485,0248500,0000000,0000000,
CONVULEX 500 mg,ACIDUM VALPROICUM + SARURI,C1,W60322001,CAPS. MOI GASTROREZ.,N03AG01,P6L,500mg,CUTIE CU 10 BLIST. PVDC-PVC/AL X 10 CAPS. MOI GASTROREZ.,GEROT PHARMAZEUTIKA GES.M.B.H.,AUSTRIA,100,3228,0322800,0000000,0000000,
CONVULEX 500 mg,ACIDUM VALPROICUM + SARURI,C1,W63236001,CAPS. MOI GASTROREZ.,N03AG01,P6L,500mg,CUTIE CU 10 BLIST. PVDC-PVC/AL X 10 CAPS. MOI GASTROREZ.,LANNACHER HEILMITTEL GES.M.B.H.,AUSTRIA,100,3228,0322800,0000000,0000000,
DEPAKINE CHRONO 300 mg,ACIDUM VALPROICUM + SARURI,C1,W06973001,COMPR. ELIB. PREL.,N03AG01,P-6L,300mg,CUTIE X 2 FLAC. DIN PP X 50 COMPR. ELIB. PREL.,SANOFI-AVENTIS FRANCE,FRANTA,100,3685,0368500,0070300,0070300,
DEPAKINE CHRONO 300 mg,ACIDUM VALPROICUM + SARURI,C1,W64667001,COMPR. ELIB. PREL.,N03AG01,P-6L,300mg,CUTIE X 2 FLAC. DIN PP X 50 COMPR. ELIB. PREL.,SANOFI ROMANIA SRL,ROMANIA,100,3685,0368500,0070300,0070300,
DEPAKINE (R) CHRONO 500 mg,ACIDUM VALPROICUM + SARURI,C1,W10512001,COMPR. ELIB. PREL.,N03AG01,P-RF,500mg,CUTIE X 1 FLAC. PP X 30 COMPR. ELIB. PREL.,SANOFI-AVENTIS FRANCE,FRANTA,30,1553,0517666,0130306,0130306,
DEPAKINE CHRONO 500 mg,ACIDUM VALPROICUM + SARURI,C1,W64666001,COMPR. ELIB. PREL.,N03AG01,P-RF,500mg,CUTIE X 1 FLAC. PP X 30 COMPR. ELIB. PREL.,SANOFI ROMANIA SRL,ROMANIA,30,1553,0517666,0130306,0130306,
DEPAKINE 200 mg,ACIDUM VALPROICUM + SARURI,C1,W07649002,COMPR. GASTROREZ.,N03AG01,P-6L,200mg,CUTIE X 1 FLAC. DIN PP X 40 COMPR. GASTROREZ.,SANOFI-AVENTIS FRANCE,FRANTA,40,1284,0321000,0000000,0000000,
DEPAKINE 200 mg,ACIDUM VALPROICUM + SARURI,C1,W64668001,COMPR. GASTROREZ.,N03AG01,P-6L,200mg,CUTIE X 1 FLAC. DIN PP X 40 COMPR. GASTROREZ.,SANOFI ROMANIA SRL,ROMANIA,40,1284,0321000,0000000,0000000,
ORFIRIL LONG 1000 mg,ACIDUM VALPROICUM + SARURI,C1,W08325005,MINICOMPR. ELIB. PREL.,N03AG01,P-6L,1000mg,CUTIE X 100 MINIPLICURI. DIN HARTIE/AL/PE CU MINICOMPR. CU ELIB. PRELUNG.,DESITIN ARZNEIMITTEL GMBH,GERMANIA,100,16926,1692600,0000000,0000000,
ORFIRIL LONG 1000 mg,ACIDUM VALPROICUM + SARURI,C1,W08325001,MINICOMPR. ELIB. PREL.,N03AG01,P-6L,1000mg,CUTIE CU 50 MINI-PLICURI DIN HARTIE/AL/PE CU MINI-COMPR. CU ELIB. PRELUNG.,DESITIN ARZNEIMITTEL GMBH,GERMANIA,50,8478,1695600,0000000,0000000,
VALEPIL 200 mg/5 ml,ACIDUM VALPROICUM + SARURI,C1,W43170001,SIROP,N03AG01,P-6L,200mg/5ml,"CUTIE CU 1 FLAC. DIN STICLA BRUNA CU 100 ML SI O LINGURITA DOZATOARE DUBLA (2,5/5 ML)",ARENA GROUP S.A.,ROMANIA,1,1798,17980000,0000000,0000000,
DEPAKINE,ACIDUM VALPROICUM + SARURI,C1,W06972001,SIROP,N03AG01,P-6L,"57,64mg/ml",CUTIE X 1 FLACON X 150 ML + 1 SERINGA PT. ADMIN. ORALA,SANOFI - AVENTIS FRANCE,FRANTA,1,1977,19770000,0000000,0000000,
DEPAKINE,ACIDUM VALPROICUM + SARURI,C1,W06972002,SIROP,N03AG01,P-6L,"57,64mg/ml",CUTIE X 1 FLACON X 150 ML + 1 LINGURITA DOZATOARE,SANOFI - AVENTIS FRANCE,FRANTA,1,1977,19770000,0000000,0000000,
"DEPAKINE 57,64 mg/ml",ACIDUM VALPROICUM + SARURI,C1,W64489001,SIROP,N03AG01,P6L,"57,64mg/ml",CUTIE X 1 FLACON X 150 ML + 1 SERINGA PT. ADMIN. ORALA,SANOFI ROMANIA S.R.L.,ROMANIA,1,1977,19770000,0000000,0000000,
"DEPAKINE 57,64 mg/ml",ACIDUM VALPROICUM + SARURI,C1,W64489002,SIROP,N03AG01,P6L,"57,64mg/ml",CUTIE X 1 FLACON X 150 ML + 1 LINGURITA DOZATOARE,SANOFI ROMANIA S.R.L.,ROMANIA,1,1977,19770000,0000000,0000000,
LAMOTRIX 100 mg,LAMOTRIGINUM,C1,W42997002,COMPR.,N03AX09,P-6L,100mg,CUTIE X 3 BLIST. AL/PVC X 10 COMPR.,MEDOCHEMIE LTD.,CIPRU,30,2830,0943333,0000000,0000000,
LAMICTAL 100 mg,LAMOTRIGINUM,C1,W03925008,COMPR.,N03AX09,P-6L,100mg,CUTIE CU BLIST. PVC/AL X 28 COMPR.,THE WELLCOME FOUNDATION LTD.,MAREA BRITANIE,28,3564,1272857,0140858,0140858,
LAMICTAL 100 mg,LAMOTRIGINUM,C1,W65105001,COMPR.,N03AX09,P6L,100mg,CUTIE CU BLIST. PVC/AL X 28 COMPR.,GLAXOSMITHKLINE (IRELAND) LIMITED,IRLANDA,28,3564,1272857,0140858,0140858,
LAMOTRIX 200 mg,LAMOTRIGINUM,C1,W42996002,COMPR.,N03AX09,P-6L,200mg,CUTIE X 3 BLIST. AL/PVC X 10 COMPR.,MEDOCHEMIE LTD.,CIPRU,30,5681,1893666,0000000,0000000,
LAMICTAL 25 mg,LAMOTRIGINUM,C1,W12304010,COMPR.,N03AX09,P-6L,25mg,CUTIE CU BLIST. PVC/AL X 28 COMPR.,THE WELLCOME FOUNDATION LTD.,MAREA BRITANIE,28,447,0159642,0000000,0000000,
LAMICTAL 25 mg,LAMOTRIGINUM,C1,W65103003,COMPR.,N03AX09,P6L,25mg,CUTIE CU BLIST. PVC/AL X 28 COMPR.,GLAXOSMITHKLINE (IRELAND) LIMITED,IRLANDA,28,447,0159642,0000000,0000000,
LAMOTRIX 50 mg,LAMOTRIGINUM,C1,W42995002,COMPR.,N03AX09,P-6L,50mg,CUTIE X 3 BLIST. AL/PVC X 10 COMPR.,MEDOCHEMIE LTD.,CIPRU,30,1595,0531666,0000000,0000000,
LAMICTAL 2 mg,LAMOTRIGINUM,C1,W09000001,COMPR. DISP./MAST.,N03AX09,P-6L,2mg,CUTIE X 1 FLAC. DIN PEID X 30 COMPR. DISP./MAST.,THE WELLCOME FOUNDATION LTD.,MAREA BRITANIE,30,028,0009333,0000000,0000000,
LAMICTAL 5 mg,LAMOTRIGINUM,C1,W03929004,COMPR. DISP./MAST.,N03AX09,P-6L,5mg,CUTIE X BLIST. PVC-PVDC/AL X 30 COMPR. DISP./MAST.,THE WELLCOME FOUNDATION LTD.,MAREA BRITANIE,30,083,0027666,0000000,0000000,
LAMICTAL 2 mg,LAMOTRIGINUM,C1,W65102001,COMPR. MAST./DISP.,N03AX09,P6L,2mg,CUTIE CU 1 FLAC. DIN PEID X 30 COMPR. MAST./DISP.,GLAXOSMITHKLINE (IRELAND) LIMITED,IRLANDA,30,028,0009333,0000000,0000000,
LAMICTAL 5 mg,LAMOTRIGINUM,C1,W65101004,COMPR. MAST./DISP.,N03AX09,P6L,5mg,CUTIE CU BLIST. PVC-PVDC/AL X 30 COMPR. MAST./DISP.,GLAXOSMITHKLINE (IRELAND) LIMITED,IRLANDA,30,083,0027666,0000000,0000000,
LAMICTAL 5 mg,LAMOTRIGINUM,C1,W65101010,COMPR. MAST./DISP.,N03AX09,P6L,5mg,CUTIE CU FLAC. DIN PEID X 30 COMPR. MAST./DISP.,GLAXOSMITHKLINE (IRELAND) LIMITED,IRLANDA,30,083,0027666,0000000,0000000,
TOPIRAMAT ACTAVIS 100 mg,TOPIRAMATUM,C1,W53160001,COMPR. FILM.,N03AX11,P-RF,100mg,CUTIE X 6 BLIST. OPA-AL-PVC/AL X 10 COMPR. FILM.,ACTAVIS S.R.L.,ROMANIA,60,6310,1051666,0000000,0000000,
TOPILEX 100 mg,TOPIRAMATUM,C1,W59849002,COMPR. FILM.,N03AX11,P6L,100mg,CUTIE CU BLIST. PVC/PE/PVDC/AL X 30 COMPR. FILM.,LANNACHER HEILMITTEL GES.M.B.H.,AUSTRIA,30,3260,1086666,0000000,0000000,
TOPIRAMAT TEVA 100 mg,TOPIRAMATUM,C1,W64806001,COMPR. FILM.,N03AX11,PRF,100mg,CUTIE CU 6 BLIST. AL/PVC-AL-OPA X 10 COMPR. FILM.,TEVA B.V.,OLANDA,60,6310,1051666,0000000,0000000,
TOPIRAMAT ACTAVIS 25 mg,TOPIRAMATUM,C1,W53158001,COMPR. FILM.,N03AX11,P-RF,25mg,CUTIE X 6 BLIST. OPA-AL-PVC/AL X 10 COMPR. FILM.,ACTAVIS S.R.L.,ROMANIA,60,2561,0426833,0000000,0000000,
TOPILEX 25 mg,TOPIRAMATUM,C1,W59847002,COMPR. FILM.,N03AX11,P6L,25mg,CUTIE CU BLIST. PVC/PE/PVDC/AL X 30 COMPR. FILM.,LANNACHER HEILMITTEL GES.M.B.H.,AUSTRIA,30,1253,0417666,0000000,0000000,
TOPIRAMAT TEVA 25 mg,TOPIRAMATUM,C1,W64802001,COMPR. FILM.,N03AX11,PRF,25mg,CUTIE CU 6 BLIST. AL/PVC-AL-OPA X 10 COMPR. FILM.,TEVA B.V.,OLANDA,60,2561,0426833,0000000,0000000,
TOPIRAMAT ACTAVIS 50 mg,TOPIRAMATUM,C1,W53159001,COMPR. FILM.,N03AX11,P-RF,50mg,CUTIE X 6 BLIST. OPA-AL-PVC/AL X 10 COMPR. FILM.,ACTAVIS S.R.L.,ROMANIA,60,4132,0688666,0000000,0000000,
TOPILEX 50 mg,TOPIRAMATUM,C1,W59848002,COMPR. FILM.,N03AX11,P6L,50mg,CUTIE CU BLIST. PVC/PE/PVDC/AL X 30 COMPR. FILM.,LANNACHER HEILMITTEL GES.M.B.H.,AUSTRIA,30,2077,0692333,0000000,0000000,
TOPIRAMAT TEVA 50 mg,TOPIRAMATUM,C1,W64804001,COMPR. FILM.,N03AX11,PRF,50mg,CUTIE CU 6 BLIST. AL/PVC-AL-OPA X 10 COMPR. FILM.,TEVA B.V.,OLANDA,60,4132,0688666,0000000,0000000,
GABAPENTIN AUROBINDO 100 mg,GABAPENTINUM,C1,W64281004,CAPS.,N03AX12,P6L,100 mg,CUTIE CU BLIST. PVC/PVDC-AL X 50 CAPS.,AUROBINDO PHARMA ROMANIA S.R.L.,ROMANIA,50,800,0160000,0000000,0000000,
GRIMODIN 100 mg,GABAPENTINUM,C1,W54332002,CAPS.,N03AX12,P-6L,100mg,CUTIE CU BLIST. PVC-PVDC/AL X 60 CAPS.,EGIS PHARMACEUTICALS P.L.C.,UNGARIA,60,3705,0617500,0425500,0425500,
GABAPENTIN ARENA 100 mg,GABAPENTINUM,C1,W60025001,CAPS.,N03AX12,P6L,100mg,CUTIE CU 6 BLIST. TRANSPARENTE PVC-PVDC/AL X 10 CAPS.,ARENA GROUP S.A.,ROMANIA,60,3705,0617500,0425500,0425500,
GABAPENTIN AUROBINDO 300 mg,GABAPENTINUM,C1,W64282004,CAPS.,N03AX12,P6L,300 mg,CUTIE CU BLIST. PVC/PVDC-AL X 50 CAPS.,AUROBINDO PHARMA ROMANIA S.R.L.,ROMANIA,50,2396,0479200,0000000,0000000,
GABAGAMMA 300 mg,GABAPENTINUM,C1,W41589005,CAPS.,N03AX12,P-6L,300mg,CUTIE X 10 BLIST. AL/PVC X 10 CAPS.,WORWAG PHARMA GMBH & CO. KG,GERMANIA,100,8099,0809900,0253220,0253220,
GABARAN 300 mg,GABAPENTINUM,C1,W42824001,CAPS.,N03AX12,P-6L,300mg,CUTIE X 5 BLIST. PVC-PVDC/AL X 10 CAPS.,RANBAXY UK LTD.,MAREA BRITANIE,50,7086,1417200,0860520,0860520,
GABALEPT 300 mg,GABAPENTINUM,C1,W43540001,CAPS.,N03AX12,P-6L,300mg,CUTIE X 10 BLIST. AL/PVC X 10 CAPS.,PLIVA LJUBLJANA D.O.O.,SLOVENIA,100,4639,0463900,0000000,0000000,
GRIMODIN 300 mg,GABAPENTINUM,C1,W54333001,CAPS.,N03AX12,P-6L,300mg,CUTIE CU BLIST. PVC-PVDC/AL X 60 CAPS.,EGIS PHARMACEUTICALS P.L.C.,UNGARIA,60,3699,0616500,0059820,0059820,
GABAPENTIN ARENA 300 mg,GABAPENTINUM,C1,W60026001,CAPS.,N03AX12,P6L,300mg,CUTIE CU 6 BLIST. TRANSPARENTE PVC-PVDC/AL X 10 CAPS.,ARENA GROUP S.A.,ROMANIA,60,5768,0961333,0404653,0404653,
GABALEPT 300 mg,GABAPENTINUM,C1,W64360001,CAPS.,N03AX12,P6L,300mg,CUTIE CU 10 BLIST. PVC-PVDC TRANSPARENTA/AL X 10 CAPS.,TEVA B.V.,OLANDA,100,4639,0463900,0000000,0000000,
GABARAN 300 mg,GABAPENTINUM,C1,W65059001,CAPS.,N03AX12,P6L,300mg,CUTIE CU 5 BLIST. PVC-PVDC/AL X 10 CAPS.,TERAPIA S.A.,ROMANIA,50,7086,1417200,0860520,0860520,
GABAPENTIN AUROBINDO 400 mg,GABAPENTINUM,C1,W64283004,CAPS.,N03AX12,P6L,400 mg,CUTIE CU BLIST. PVC/PVDC-AL X 50 CAPS.,AUROBINDO PHARMA ROMANIA S.R.L.,ROMANIA,50,3200,0640000,0000000,0000000,
GABAGAMMA 400 mg,GABAPENTINUM,C1,W41590005,CAPS.,N03AX12,P-6L,400mg,CUTIE X 10 BLIST. AL/PVC X 10 CAPS.,WORWAG PHARMA GMBH & CO. KG,GERMANIA,100,12340,1234000,0492280,0492280,
GABARAN 400 mg,GABAPENTINUM,C1,W42825001,CAPS.,N03AX12,P-6L,400mg,CUTIE X 5 BLIST. PVC-PVDC/AL X 10 CAPS.,RANBAXY UK LTD.,MAREA BRITANIE,50,8083,1616600,0874880,0874880,
GABALEPT 400 mg,GABAPENTINUM,C1,W43541001,CAPS.,N03AX12,P-6L,400mg,CUTIE X 10 BLIST. AL/PVC X 10 CAPS.,PLIVA LJUBLJANA D.O.O.,SLOVENIA,100,6181,0618100,0000000,0000000,
GRIMODIN 400 mg,GABAPENTINUM,C1,W54334001,CAPS.,N03AX12,P-6L,400mg,CUTIE CU BLIST. PVC-PVDC/AL X 60 CAPS.,EGIS PHARMACEUTICALS P.L.C.,UNGARIA,60,6388,1064666,0322946,0322946,
GABAPENTIN ARENA 400 mg,GABAPENTINUM,C1,W60027001,CAPS.,N03AX12,P6L,400mg,CUTIE CU 6 BLIST. TRANSPARENTE PVC-PVDC/AL X 10 CAPS.,ARENA GROUP S.A.,ROMANIA,60,11895,1982500,1240780,1240780,
GABALEPT 400 mg,GABAPENTINUM,C1,W64361001,CAPS.,N03AX12,P6L,400mg,CUTIE CU 10 BLIST. PVC-PVDC TRANSPARENTA/AL X 10 CAPS.,TEVA B.V.,OLANDA,100,6181,0618100,0000000,0000000,
GABARAN 400 mg,GABAPENTINUM,C1,W65060001,CAPS.,N03AX12,P6L,400mg,CUTIE CU 5 BLIST. PVC-PVDC/AL X 10 CAPS.,TERAPIA S.A.,ROMANIA,50,8083,1616600,0874880,0874880,
GABARAN 600 mg,GABAPENTINUM,C1,W42826001,COMPR. FILM.,N03AX12,P-6L,600mg,CUTIE X 3 BLIST. AL-PVC-PA/AL X 10 COMPR. FILM.,RANBAXY UK LTD.,MAREA BRITANIE,30,7005,2335000,0000000,0000000,
GABARAN 600 mg,GABAPENTINUM,C1,W65061001,COMPR. FILM.,N03AX12,P6L,600mg,CUTIE CU 3 BLIST. AL-PVC-PA/AL X 10 COMPR. FILM.,TERAPIA S.A.,ROMANIA,30,7005,2335000,0000000,0000000,
LEVETIRACETAM TERAPIA 1000 mg,LEVETIRACETAMUM,C1,W58650001,COMPR. FILM.,N03AX14,PRF,1000 mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMP.FILM.,TERAPIA S.A.,ROMANIA,30,5978,1992666,0000000,0000000,
LEVETIRACETAM ACTAVIS 1000mg,LEVETIRACETAMUM,C1,W57413002,COMPR. FILM.,N03AX14,PRF,1000mg,CUTIE CU BLIST. DIN AL/PVC X 30 COMPR. FILM.,ACTAVIS GROUP PTC EHF.,ISLANDA,30,5751,1917000,0000000,0000000,
LEVETIRACETAM AUROBINDO 1000 mg,LEVETIRACETAMUM,C1,W58295002,COMPR. FILM.,N03AX14,PRF,1000mg,CUTIE CU BLIST. PVC/PE/PVDC/AL X 30 COMPR. FILM.,AUROBINDO PHARMA (MALTA) LIMITED,MALTA,30,7606,2535333,0234933,0234933,
LEVETIRACETAM AUROBINDO 1000 mg,LEVETIRACETAMUM,C1,W66007002,COMPR. FILM.,N03AX14,PRF,1000mg,CUTIE CU BLIST. PVC-PE-PVDC-AL X 30 COMPR. FILM.,AUROBINDO PHARMA ROMANIA S.R.L.,ROMANIA,30,7606,2535333,0234933,0234933,
LEVETIRACETAM TERAPIA 500 mg,LEVETIRACETAMUM,C1,W58649003,COMPR. FILM.,N03AX14,PRF,500 mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR.FILM.,TERAPIA S.A.,ROMANIA,30,2143,0714333,0000000,0000000,
LEVETIRACETAM AUROBINDO 500 mg,LEVETIRACETAMUM,C1,W66006002,COMPR. FILM.,N03AX14,PRF,500mg,CUTIE CU BLIST. PVC-PE-PVDC/AL X 30 COMPR. FILM.,AUROBINDO PHARMA ROMANIA S.R.L.,ROMANIA,30,2978,0992666,0135467,0135467,
LEVETIRACETAM DESITIN 1000 mg,LEVETIRACETAMUM,C1,W57149002,"GRANULE ACOPERITE, IN PLIC UNIDOZA",N03AX14,PRF,1000mg,CUTIE CU 30 PLICURI UNIDOZA DIN HARTIE/AL/PE CONTINAND GRANULE ACOPERITE,DESITIN ARZNEIMITTEL GMBH,GERMANIA,30,10380,3460000,1159600,1159600,
LEVETIRACETAM DESITIN 500 mg,LEVETIRACETAMUM,C1,W57147002,"GRANULE ACOPERITE, IN PLIC UNIDOZA",N03AX14,PRF,500mg,CUTIE CU 30 PLICURI UNIDOZA DIN HARTIE/AL/PE CONTINAND GRANULE ACOPERITE,DESITIN ARZNEIMITTEL GMBH,GERMANIA,30,5240,1746666,0889467,0889467,
